Name,Date time,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Hồ Chí Minh, Việt Nam",12/06/2020 08:00:00,25.6,,,0,0,0,0,7.6,10.1,24.1,0,65,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 09:00:00,27.1,,28.1,0,0,0,0,7.6,7.9,24.1,0,59.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 10:00:00,28.8,,29.9,0,0,0,0,7.6,7.6,24.1,0,54.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 11:00:00,30.3,,31.5,0,0,0,0,7.6,7.2,24.1,0,50.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 12:00:00,31.8,,33.2,0,0,0,0,6.5,6.1,24.1,0,46.7,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 13:00:00,32.7,,34.1,0,0,0,0,5.8,5.4,24.1,17,44,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 14:00:00,33,,34.4,4.8,0,0,0,4.7,4.3,24.1,100,43,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 15:00:00,32.5,,33.8,4.8,0,0,0,4,4.7,24.1,100,44.2,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 16:00:00,31.2,,33.2,4.8,0,0,0,7.9,6.8,24.1,100,51.7,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 17:00:00,28.1,,30.4,4.8,0,0,0,12.6,18.4,24.1,100,66.9,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 18:00:00,26.1,,,4.8,0,0,0,9.4,16.2,24.1,100,76,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 19:00:00,25.9,,,4.8,0,0,0,10.4,18.7,24.1,100,76.8,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 20:00:00,25.8,,,0,0,0,0,8.6,15.1,24.1,100,77.4,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 21:00:00,25.6,,,0,0,0,0,6.5,11.5,24.1,100,78.5,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 22:00:00,25.5,,,0,0,0,0,4.7,8.3,24.1,100,79.1,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 23:00:00,25.2,,,0,0,0,0,5.8,8.6,24.1,100,80.5,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 00:00:00,25,,,0,0,0,0,4.3,7.2,24.1,100,81.6,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 01:00:00,24.8,,,0,0,0,0,4.3,6.8,24.1,98,82.4,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 02:00:00,24.7,,,0,0,0,0,4,6.5,24.1,100,82.9,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 03:00:00,24.5,,,0,0,0,0,2.2,4,24.1,100,83.4,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 04:00:00,24.5,,,0,0,0,0,2.2,4,24.1,99,82.6,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 05:00:00,24.5,,,0,0,0,0,3.2,5,24.1,99,82.1,Overcast
