@relation 'forecast_data_06-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R1-2,9'

@attribute 'Chance Precipitation (\%)' numeric
@attribute Precipitation numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Gust' numeric
@attribute Visibility numeric
@attribute 'Cloud Cover' numeric
@attribute Conditions {Clear,Overcast,'Partially cloudy','Rain, Overcast','Rain, Partially cloudy'}

@data
0,0,7.6,10.1,24.1,0,Clear
0,0,7.6,7.9,24.1,0,Clear
0,0,7.6,7.6,24.1,0,Clear
0,0,7.6,7.2,24.1,0,Clear
0,0,6.5,6.1,24.1,0,Clear
0,0,5.8,5.4,24.1,17,Clear
4.8,0,4.7,4.3,24.1,100,Overcast
4.8,0,4,4.7,24.1,100,Overcast
4.8,0,7.9,6.8,24.1,100,Overcast
4.8,0,12.6,18.4,24.1,100,Overcast
4.8,0,9.4,16.2,24.1,100,Overcast
4.8,0,10.4,18.7,24.1,100,Overcast
0,0,8.6,15.1,24.1,100,Overcast
0,0,6.5,11.5,24.1,100,Overcast
0,0,4.7,8.3,24.1,100,Overcast
0,0,5.8,8.6,24.1,100,Overcast
0,0,4.3,7.2,24.1,100,Overcast
0,0,4.3,6.8,24.1,98,Overcast
0,0,4,6.5,24.1,100,Overcast
0,0,2.2,4,24.1,100,Overcast
0,0,2.2,4,24.1,99,Overcast
0,0,3.2,5,24.1,99,Overcast
0,0,5,7.2,24.1,99,Overcast
0,0,6.1,10.8,24.1,99,Overcast
0,0,5.8,7.6,24.1,100,Overcast
0,0,5,6.5,24.1,100,Overcast
0,0,6.8,7.2,24.1,100,Overcast
0,0,7.2,6.8,24.1,79,Overcast
0,0,6.5,6.1,24.1,65,'Partially cloudy'
0,0,7.2,6.5,24.1,60,'Partially cloudy'
33.2,0,8.6,8.3,24.1,100,Overcast
33.2,0,10.1,8.6,24.1,100,Overcast
33.2,0.4,6.8,8.6,24.1,100,Overcast
33.2,0.9,6.5,10.4,24.1,100,Overcast
33.2,0.2,9.7,16.6,24.1,100,Overcast
33.2,0,7.6,14.8,24.1,100,Overcast
19,0,6.5,11.2,24.1,100,Overcast
19,0,6.1,10.4,24.1,100,Overcast
19,0,5,8.6,24.1,100,Overcast
19,0,3.6,6.1,24.1,100,Overcast
19,0,1.8,2.9,24.1,98,Overcast
19,0,1.4,2.9,24.1,98,Overcast
9.5,0,4.3,7.2,24.1,100,Overcast
9.5,0,6.8,10.4,24.1,100,Overcast
9.5,0,6.8,10.8,24.1,96,Overcast
9.5,0,6.5,10.4,24.1,96,Overcast
9.5,0,5.4,7.6,24.1,89,Overcast
9.5,0,5.8,10.1,24.1,80,Overcast
4.8,0,6.1,9.7,24.1,17,Clear
4.8,0,6.1,7.9,24.1,9,Clear
4.8,0,6.1,6.5,24.1,6,Clear
4.8,0,5.8,5.4,24.1,5,Clear
